"","tot_sasa","REG"
"1","1.86846659431",1
"2","3.07504885856",3
"3","3.54285113371",9
"4","3.60367082323",0
"5","3.66618884294",0
"6","3.73331856625",5
"7","4.16649356975",1
"8","4.24312891821",0
"9","4.2512654268",0
"10","4.41814099051",5
"11","4.48659891174",6
"12","4.51449508412",6
"13","4.60386998235",2
"14","4.60731042284",3
"15","4.73839584684",3
"16","4.74517590002",8
"17","4.85666826877",0
"18","4.8633742655",1
"19","4.91732620643",8
"20","4.93699059954",1
"21","4.98173234239",2
"22","4.99173562123",0
"23","4.99967803911",2
"24","5.13894241479",1
"25","5.18489084695",3
"26","5.30558983982",6
"27","5.34336899581",0
"28","5.35198807306",3
"29","5.43260311061",1
"30","5.43756253179",4
"31","5.44130428974",0
"32","5.44995175847",0
"33","5.45911915768",3
"34","5.46597957107",0
"35","5.46879731318",5
"36","5.54475144899",4
"37","5.60146876965",3
"38","5.61268400688",0
"39","5.62305189149",0
"40","5.63456248625",3
"41","5.64145635408",0
"42","5.68352677425",7
"43","5.71807981061",0
"44","5.73090317276",1
"45","5.77443591583",2
"46","5.79066833012",2
"47","5.79840652058",0
"48","5.83555344754",7
"49","5.85200487637",1
"50","5.89436314033",3
"51","5.90695280202",4
"52","5.9124238096",1
"53","5.91537721105",0
"54","5.9155475973",0
"55","5.92562137114",2
"56","5.93799530506",1
"57","5.93959733469",4
"58","5.97622966058",5
"59","5.98652628801",12
"60","6.02926561891",7
"61","6.03858258599",1
"62","6.13780530034",0
"63","6.13876483024",0
"64","6.14180336581",0
"65","6.16862817309",4
"66","6.17369370172",0
"67","6.17912956539",0
"68","6.18159146537",1
"69","6.18283035355",1
"70","6.31949122815",0
"71","6.38561747026",8
"72","6.40065661993",1
"73","6.42154077396",2
"74","6.50668855921",3
"75","6.51327732266",2
"76","6.52416182581",1
"77","6.53171208243",2
"78","6.5527861286",6
"79","6.58096455029",0
"80","6.58571889591",0
"81","6.60716929381",9
"82","6.60754531471",0
"83","6.66014632206",0
"84","6.69189284585",0
"85","6.70374850492",2
"86","6.74869772623",2
"87","6.74904205001",3
"88","6.75600554131",4
"89","6.76446885104",2
"90","6.79908227978",0
"91","6.8168696515",1
"92","6.85780993923",0
"93","6.87224689779",0
"94","6.90338828142",0
"95","6.92121791781",2
"96","6.9311550551",1
"97","6.96039168902",0
"98","6.96938798402",2
"99","6.97330635548",0
"100","6.97906345484",0
"101","7.01149196115",1
"102","7.02671031861",2
"103","7.05079579021",2
"104","7.05569848089",2
"105","7.12399418782",0
"106","7.13629273524",0
"107","7.16557778288",0
"108","7.20762026915",2
"109","7.20907600724",0
"110","7.22292028501",1
"111","7.23840553118",3
"112","7.24884110299",1
"113","7.26639698007",0
"114","7.2856427047",0
"115","7.29994745399",2
"116","7.30622235191",3
"117","7.30973567666",1
"118","7.31211402694",0
"119","7.33975842772",0
"120","7.37488559298",1
"121","7.40186298127",0
"122","7.41534378406",0
"123","7.4362405117",5
"124","7.46096597821",0
"125","7.47756589218",7
"126","7.52137072109",0
"127","7.52392398416",1
"128","7.53627159886",10
"129","7.54088581403",0
"130","7.55428884287",0
"131","7.55475014382",2
"132","7.58432336585",0
"133","7.65023809344",0
"134","7.65313407156",2
"135","7.65938097276",4
"136","7.67281355396",1
"137","7.6756250967",4
"138","7.69261750985",1
"139","7.73471811954",1
"140","7.75012644608",4
"141","7.75194512626",8
"142","7.78381140473",1
"143","7.8197303378",1
"144","7.84757277457",1
"145","7.85132850291",2
"146","7.85287295721",3
"147","7.88958724494",1
"148","7.90787394944",4
"149","7.93568519166",2
"150","7.95672709043",1
"151","7.96917009222",0
"152","7.97328019118",1
"153","7.98400097192",0
"154","7.99370895671",1
"155","8.03748007798",3
"156","8.05243000022",7
"157","8.07017660554",1
"158","8.07976173222",0
"159","8.07981002688",2
"160","8.08396033802",5
"161","8.09916505707",0
"162","8.11543904463",0
"163","8.11566520705",0
"164","8.11781836667",0
"165","8.14387915612",5
"166","8.17831756422",0
"167","8.18104487665",6
"168","8.198352251",1
"169","8.20005885922",8
"170","8.20521471128",5
"171","8.22846004218",5
"172","8.23176495146",0
"173","8.26806975917",0
"174","8.2768773495",7
"175","8.27847814349",1
"176","8.283830256",1
"177","8.28891074691",1
"178","8.29989481029",1
"179","8.31638804205",0
"180","8.31697797282",0
"181","8.33669196954",3
"182","8.34357378835",1
"183","8.3582138276",1
"184","8.37326927939",0
"185","8.37643611898",2
"186","8.38132191772",3
"187","8.38239730423",0
"188","8.38706623436",8
"189","8.39479096714",4
"190","8.41358228973",1
"191","8.41364435286",1
"192","8.43747733057",0
"193","8.44165369667",7
"194","8.45081879953",1
"195","8.45241292141",0
"196","8.45670995624",2
"197","8.45937756335",4
"198","8.46015731934",1
"199","8.47556083507",2
"200","8.48838747742",0
"201","8.50256846369",3
"202","8.52736131595",1
"203","8.53695079966",4
"204","8.55528756713",2
"205","8.57385538053",3
"206","8.58320239589",8
"207","8.59025077537",1
"208","8.60073479896",1
"209","8.63402758756",1
"210","8.64136243803",6
"211","8.65400847426",2
"212","8.66350981894",2
"213","8.68080018199",0
"214","8.69635896928",8
"215","8.70265312251",3
"216","8.70418560889",3
"217","8.71403414935",1
"218","8.71606785264",10
"219","8.72741773169",3
"220","8.73620981872",0
"221","8.76477754736",4
"222","8.76530484166",0
"223","8.77110577951",6
"224","8.77234982738",1
"225","8.77582901156",0
"226","8.79001773876",3
"227","8.79704190523",8
"228","8.80247046955",1
"229","8.8082238799",5
"230","8.81008287519",7
"231","8.83415562513",9
"232","8.86446710823",5
"233","8.86821599726",3
"234","8.89177604872",1
"235","8.89656919409",3
"236","8.90202518627",4
"237","8.90424952814",2
"238","8.93321011771",1
"239","8.94037337153",6
"240","8.9717591123",7
"241","8.98272571939",4
"242","8.98959835049",0
"243","8.990085804",0
"244","8.99039289368",6
"245","8.99985815888",0
"246","9.0001251272",6
"247","9.01002935683",4
"248","9.01075435577",2
"249","9.01330286328",2
"250","9.01341317444",1
"251","9.01375990884",1
"252","9.02854472553",8
"253","9.03021412449",0
"254","9.05620985282",0
"255","9.0593517856",0
"256","9.06533848286",0
"257","9.07529990648",1
"258","9.07691889449",2
"259","9.08451007967",6
"260","9.09787199065",2
"261","9.10199678354",0
"262","9.10670107372",2
"263","9.11433639164",1
"264","9.12367882846",0
"265","9.15041541205",1
"266","9.1547969928",1
"267","9.16043341128",1
"268","9.1665865907",13
"269","9.17148717545",9
"270","9.1720295744",0
"271","9.19439431588",1
"272","9.19595387078",1
"273","9.20030753785",0
"274","9.20684985173",1
"275","9.20835131155",2
"276","9.2106123986",0
"277","9.23284976057",0
"278","9.24083071949",1
"279","9.2502854267",0
"280","9.25166869404",1
"281","9.26299519275",2
"282","9.2683860666",2
"283","9.27052549416",4
"284","9.28451007248",2
"285","9.30196143312",0
"286","9.30548488911",0
"287","9.30607525949",2
"288","9.32045988013",3
"289","9.33709736664",4
"290","9.33838926859",3
"291","9.3487325025",4
"292","9.37332610493",1
"293","9.38994545301",0
"294","9.39390233982",2
"295","9.39481245645",0
"296","9.40139146896",2
"297","9.40525969214",4
"298","9.41219317956",1
"299","9.42393084798",1
"300","9.42512196325",7
"301","9.43531718161",2
"302","9.47518205271",2
"303","9.49814555293",0
"304","9.5060853111",2
"305","9.52952373701",0
"306","9.54823565826",5
"307","9.55656644853",5
"308","9.5588237393",0
"309","9.56831390862",0
"310","9.5718136364",9
"311","9.58446846085",0
"312","9.59674189549",0
"313","9.5997756639",0
"314","9.61024136738",3
"315","9.61373556672",1
"316","9.61640471638",2
"317","9.61834521225",8
"318","9.63098465196",2
"319","9.63135480291",3
"320","9.6455539886",2
"321","9.69274870393",0
"322","9.69572983478",0
"323","9.70095327374",8
"324","9.70360391545",0
"325","9.71723113718",1
"326","9.71899415703",0
"327","9.73066405987",4
"328","9.74436415906",1
"329","9.75435423932",6
"330","9.75869548297",2
"331","9.76896008086",5
"332","9.79760740001",0
"333","9.81675211474",2
"334","9.81800440412",2
"335","9.81881001015",1
"336","9.83132451433",1
"337","9.83630307998",2
"338","9.84015739671",0
"339","9.84198448935",4
"340","9.84263298137",0
"341","9.847868945",2
"342","9.86859784549",9
"343","9.86990885212",0
"344","9.87600460172",1
"345","9.87832939214",5
"346","9.88619731102",2
"347","9.88923769258",0
"348","9.89698826609",0
"349","9.92467570691",6
"350","9.9346275299",9
"351","9.93473106645",0
"352","9.94144070221",0
"353","9.96679011895",1
"354","9.97320329355",0
"355","9.99275741791",6
"356","10.0039798881",0
"357","10.0126534926",0
"358","10.0172610343",0
"359","10.0300836272",1
"360","10.0435478533",0
"361","10.0509385441",0
"362","10.0586214842",1
"363","10.0618161556",14
"364","10.0769805529",2
"365","10.1058933178",1
"366","10.1075548076",0
"367","10.123257574",1
"368","10.1249265301",1
"369","10.1318293348",1
"370","10.1400630299",0
"371","10.1415377821",0
"372","10.1577474317",0
"373","10.1606554518",5
"374","10.1619081161",2
"375","10.1627761461",0
"376","10.1722995609",0
"377","10.1811534224",1
"378","10.1940254221",1
"379","10.1996536609",2
"380","10.2094026611",3
"381","10.2095587469",2
"382","10.215089836",19
"383","10.2292780413",3
"384","10.2397663284",0
"385","10.2540608096",4
"386","10.2561029652",5
"387","10.2750045797",0
"388","10.2762082504",1
