"","tot_sasa","REG"
"1","1.86846659431",1
"2","3.07504885856",3
"3","3.54285113371",9
"4","3.73331856625",5
"5","4.16649356975",1
"6","4.41814099051",5
"7","4.48659891174",6
"8","4.51449508412",6
"9","4.60386998235",2
"10","4.60731042284",3
"11","4.73839584684",3
"12","4.74517590002",8
"13","4.8633742655",1
"14","4.91732620643",8
"15","4.93699059954",1
"16","4.98173234239",2
"17","4.99967803911",2
"18","5.13894241479",1
"19","5.18489084695",3
"20","5.30558983982",6
"21","5.35198807306",3
"22","5.43260311061",1
"23","5.43756253179",4
"24","5.45911915768",3
"25","5.46879731318",5
"26","5.54475144899",4
"27","5.60146876965",3
"28","5.63456248625",3
"29","5.68352677425",7
"30","5.73090317276",1
"31","5.77443591583",2
"32","5.79066833012",2
"33","5.83555344754",7
"34","5.85200487637",1
"35","5.89436314033",3
"36","5.90695280202",4
"37","5.9124238096",1
"38","5.92562137114",2
"39","5.93799530506",1
"40","5.93959733469",4
"41","5.97622966058",5
"42","5.98652628801",12
"43","6.02926561891",7
"44","6.03858258599",1
"45","6.16862817309",4
"46","6.18159146537",1
"47","6.18283035355",1
"48","6.38561747026",8
"49","6.40065661993",1
"50","6.42154077396",2
"51","6.50668855921",3
"52","6.51327732266",2
"53","6.52416182581",1
"54","6.53171208243",2
"55","6.5527861286",6
"56","6.60716929381",9
"57","6.70374850492",2
"58","6.74869772623",2
"59","6.74904205001",3
"60","6.75600554131",4
"61","6.76446885104",2
"62","6.8168696515",1
"63","6.92121791781",2
"64","6.9311550551",1
"65","6.96938798402",2
"66","7.01149196115",1
"67","7.02671031861",2
"68","7.05079579021",2
"69","7.05569848089",2
"70","7.20762026915",2
"71","7.22292028501",1
"72","7.23840553118",3
"73","7.24884110299",1
"74","7.29994745399",2
"75","7.30622235191",3
"76","7.30973567666",1
"77","7.37488559298",1
"78","7.4362405117",5
"79","7.47756589218",7
"80","7.52392398416",1
"81","7.53627159886",10
"82","7.55475014382",2
"83","7.65313407156",2
"84","7.65938097276",4
"85","7.67281355396",1
"86","7.6756250967",4
"87","7.69261750985",1
"88","7.73471811954",1
"89","7.75012644608",4
"90","7.75194512626",8
"91","7.78381140473",1
"92","7.8197303378",1
"93","7.84757277457",1
"94","7.85132850291",2
"95","7.85287295721",3
"96","7.88958724494",1
"97","7.90787394944",4
"98","7.93568519166",2
"99","7.95672709043",1
"100","7.97328019118",1
"101","7.99370895671",1
"102","8.03748007798",3
"103","8.05243000022",7
"104","8.07017660554",1
"105","8.07981002688",2
"106","8.08396033802",5
"107","8.14387915612",5
"108","8.18104487665",6
"109","8.198352251",1
"110","8.20005885922",8
"111","8.20521471128",5
"112","8.22846004218",5
"113","8.2768773495",7
"114","8.27847814349",1
"115","8.283830256",1
"116","8.28891074691",1
"117","8.29989481029",1
"118","8.33669196954",3
"119","8.34357378835",1
"120","8.3582138276",1
"121","8.37643611898",2
"122","8.38132191772",3
"123","8.38706623436",8
"124","8.39479096714",4
"125","8.41358228973",1
"126","8.41364435286",1
"127","8.44165369667",7
"128","8.45081879953",1
"129","8.45670995624",2
"130","8.45937756335",4
"131","8.46015731934",1
"132","8.47556083507",2
"133","8.50256846369",3
"134","8.52736131595",1
"135","8.53695079966",4
"136","8.55528756713",2
"137","8.57385538053",3
"138","8.58320239589",8
"139","8.59025077537",1
"140","8.60073479896",1
"141","8.63402758756",1
"142","8.64136243803",6
"143","8.65400847426",2
"144","8.66350981894",2
"145","8.69635896928",8
"146","8.70265312251",3
"147","8.70418560889",3
"148","8.71403414935",1
"149","8.71606785264",10
"150","8.72741773169",3
"151","8.76477754736",4
"152","8.77110577951",6
"153","8.77234982738",1
"154","8.79001773876",3
"155","8.79704190523",8
"156","8.80247046955",1
"157","8.8082238799",5
"158","8.81008287519",7
"159","8.83415562513",9
"160","8.86446710823",5
"161","8.86821599726",3
"162","8.89177604872",1
"163","8.89656919409",3
"164","8.90202518627",4
"165","8.90424952814",2
"166","8.93321011771",1
"167","8.94037337153",6
"168","8.9717591123",7
"169","8.98272571939",4
"170","8.99039289368",6
"171","9.0001251272",6
"172","9.01002935683",4
"173","9.01075435577",2
"174","9.01330286328",2
"175","9.01341317444",1
"176","9.01375990884",1
"177","9.02854472553",8
"178","9.07529990648",1
"179","9.07691889449",2
"180","9.08451007967",6
"181","9.09787199065",2
"182","9.10670107372",2
"183","9.11433639164",1
"184","9.15041541205",1
"185","9.1547969928",1
"186","9.16043341128",1
"187","9.1665865907",13
"188","9.17148717545",9
"189","9.19439431588",1
"190","9.19595387078",1
"191","9.20684985173",1
"192","9.20835131155",2
"193","9.24083071949",1
"194","9.25166869404",1
"195","9.26299519275",2
"196","9.2683860666",2
"197","9.27052549416",4
"198","9.28451007248",2
"199","9.30607525949",2
"200","9.32045988013",3
"201","9.33709736664",4
"202","9.33838926859",3
"203","9.3487325025",4
"204","9.37332610493",1
"205","9.39390233982",2
"206","9.40139146896",2
"207","9.40525969214",4
"208","9.41219317956",1
"209","9.42393084798",1
"210","9.42512196325",7
"211","9.43531718161",2
"212","9.47518205271",2
"213","9.5060853111",2
"214","9.54823565826",5
"215","9.55656644853",5
"216","9.5718136364",9
"217","9.61024136738",3
"218","9.61373556672",1
"219","9.61640471638",2
"220","9.61834521225",8
"221","9.63098465196",2
"222","9.63135480291",3
"223","9.6455539886",2
"224","9.70095327374",8
"225","9.71723113718",1
"226","9.73066405987",4
"227","9.74436415906",1
"228","9.75435423932",6
"229","9.75869548297",2
"230","9.76896008086",5
"231","9.81675211474",2
"232","9.81800440412",2
"233","9.81881001015",1
"234","9.83132451433",1
"235","9.83630307998",2
"236","9.84198448935",4
"237","9.847868945",2
"238","9.86859784549",9
"239","9.87600460172",1
"240","9.87832939214",5
"241","9.88619731102",2
"242","9.92467570691",6
"243","9.9346275299",9
"244","9.96679011895",1
"245","9.99275741791",6
"246","10.0300836272",1
"247","10.0586214842",1
"248","10.0618161556",14
"249","10.0769805529",2
"250","10.1058933178",1
"251","10.123257574",1
"252","10.1249265301",1
"253","10.1318293348",1
"254","10.1606554518",5
"255","10.1619081161",2
"256","10.1811534224",1
"257","10.1940254221",1
"258","10.1996536609",2
"259","10.2094026611",3
"260","10.2095587469",2
"261","10.215089836",19
"262","10.2292780413",3
"263","10.2540608096",4
"264","10.2561029652",5
"265","10.2762082504",1
"266","10.2774990518",7
"267","10.2823099472",7
"268","10.3030244811",3
"269","10.3042865693",6
"270","10.3086559781",5
"271","10.359012094",3
"272","10.3702437858",3
"273","10.3714768835",2
"274","10.3732559579",5
"275","10.3790405741",11
"276","10.3890917609",6
"277","10.4067059691",1
"278","10.4076871585",1
"279","10.4118231865",4
"280","10.433767303",1
"281","10.4591353499",1
"282","10.4698286457",1
"283","10.4929611806",3
"284","10.5316156695",2
"285","10.5541200889",1
"286","10.563534049",10
"287","10.5704607963",3
"288","10.5718078483",1
"289","10.5880694644",2
"290","10.5995799312",2
"291","10.6136332817",1
"292","10.6327234106",3
"293","10.6343389708",1
"294","10.6352690826",4
"295","10.6412450133",2
"296","10.6583707874",2
"297","10.6775261034",1
"298","10.6814809736",6
"299","10.6823610788",9
"300","10.7067603852",2
"301","10.7245421906",3
"302","10.7581748746",1
"303","10.7657291151",1
"304","10.7672125606",1
"305","10.7736747977",6
"306","10.7767571416",13
"307","10.783611293",6
"308","10.7924070199",3
"309","10.806962105",5
"310","10.8104778575",3
"311","10.8144100242",5
"312","10.8178373435",10
"313","10.8596079173",4
"314","10.8604893067",1
"315","10.8874286189",2
"316","10.8881405058",3
"317","10.9080920977",1
"318","10.9279816272",7
"319","10.9299755472",1
"320","10.9301361477",1
"321","10.9457045427",5
"322","10.9637370806",4
"323","10.9644896486",8
"324","10.9761010047",6
"325","11.0036495053",4
"326","11.0196357231",3
"327","11.0202217274",5
"328","11.0219278436",8
"329","11.0233464328",2
"330","11.0264226722",1
"331","11.0320185267",2
"332","11.0339265271",2
"333","11.0477232841",3
"334","11.0637905637",6
"335","11.0876392224",2
"336","11.0933045922",6
"337","11.0938130876",2
"338","11.0948242916",2
"339","11.1241349336",4
"340","11.1278499752",4
"341","11.1316001302",1
"342","11.1570209889",1
"343","11.1732189296",2
"344","11.1877975336",6
"345","11.1886086913",2
"346","11.2114214172",2
"347","11.2206744513",2
"348","11.2242171842",13
"349","11.234648094",10
"350","11.2549216492",5
"351","11.272103305",11
"352","11.2742920735",3
"353","11.2754344445",1
"354","11.2942022937",3
"355","11.2995280672",2
"356","11.3006180269",3
"357","11.3102909446",10
"358","11.3140677381",1
"359","11.3276930188",3
"360","11.3398188615",7
"361","11.3423643412",1
"362","11.348923269",1
"363","11.368807726",4
"364","11.3701046121",2
"365","11.3872807837",2
"366","11.3998396814",1
"367","11.4008653145",2
"368","11.4155004478",10
"369","11.41737229",1
"370","11.4241558513",3
"371","11.4277053102",3
"372","11.4445385687",1
"373","11.4468410998",6
"374","11.4531670185",5
"375","11.4666181761",3
"376","11.4991859549",2
"377","11.5477619166",4
"378","11.5499662859",1
"379","11.5574162442",2
"380","11.5582250429",1
"381","11.5603765784",3
"382","11.5620057179",2
"383","11.5688319992",6
"384","11.5801471741",1
"385","11.6086779743",9
"386","11.6266484107",1
"387","11.6285596916",2
"388","11.6438042253",2
"389","11.6781320766",3
